,Jaguar,Mercedes,BMW,Audi
Unweighted row,144,144,144,144
Total,144,144,144,144
Aggressive,47,9.3,51.3,34.5
Conservative,36.3,71,17,14
Cool,17.2,8,42.8,47.3
Distinctive,51.1,9.5,23.4,19.8
Elegant,35.5,61.7,23.7,31
Family oriented,8.3,39.2,23.5,18.2
Feminine,16.2,11.7,17.1,44.8
Fun to drive,15,14.2,56.8,42
Functional,15.9,35.3,43.2,37.4
Luxurious,37.5,86.8,33.6,33.6
Masculine,38.4,37.5,48.5,24.3
Powerful,33.2,32.6,41.1,23.2
Practical,4.5,20.5,34.1,39.2
Prestigious,28.2,66.7,28.3,23.8
Sexy,27.1,32.1,39.1,35.9
Sophisticated,30.9,43.7,41,48.5
Sporty,31.8,7.3,44.7,39.7
Traditional,30.3,55.1,16.8,5
Youthful,14,1.5,29.8,37.3
Technologically advanced,9.4,39.2,35.9,32.8
Comfortable,8.7,44.8,15.5,18.4
High quality,14.6,55.2,36.3,14.2
